ID,name,smiles,lgK,delta,ref_num,doi
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,25,,21,10.1351/pac200577081445
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,25.3,1,22,10.1021/ic00094a021
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,25.6,,23,10.1002/mrm.1910220215
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,26.03,,24,10.1039/a700519i
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,27,,25,10.1021/ic00032a035
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,27,,26,10.3406/barb.1978.58463
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,28,,27,10.3406/barb.1978.58463
23,rac-MCTA,CC1CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN1CC(=O)O,26.3,,23,10.1002/mrm.1910220215
24,(S)-NB-DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)[C@@H](Cc2ccc([N+](=O)[O-])cc2)CN(CC(=O)O)CC1,24.2,,28,10.1021/ic0353007
25,rac-DOTA-BOM1,O=C(O)CN1CCN(CC(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CCN(CC(=O)O)CC1,25.93,,26,10.1021/ic00032a035
26,DOTA-BOM2c,O=C(O)CN1CCN(CC(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CC1,25.95,,26,10.1021/ic00032a035
27,DOTMA [k],CC(C(=O)O)N1CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CC1,23.6,0.1,29,10.1016/s0010-8545(99)00237-4
28,"(S)(S,S,S)-NB-DOTMA-1",C[C@@H](C(=O)O)N1CCN(CC(=O)O)[C@@H](Cc2ccc([N+](=O)[O-])cc2)CN([C@@H](C)C(=O)O)CCN([C@@H](C)C(=O)O)CC1,21.53,0.11,30,10.1021/ic2012843
29,"(S)(R,R,R,R)-NB-DOTMA",C[C@H](C(=O)O)N1CCN([C@H](C)C(=O)O)CCN([C@H](C)C(=O)O)[C@@H](Cc2ccc([N+](=O)[O-])cc2)CN([C@H](C)C(=O)O)CC1,23.86,0.07,30,10.1021/ic2012843
