ID,sourceID,smiles,doi,source,lgK
rev_179,A61,COCCN(CC(=O)O)CC(=O)O,10.1016/S0010-8545(99)00237-4,uzal2022,7.88
rev_216,T1,O=C(O)CN1CCN(CC(=O)O)CCN(Cc2ccccn2)CC1,10.1016/j.ccr.2022.214606,uzal2022,12.55
rev_148,148,O=C(O)CN(CCCN(CC(=O)O)C[C@H](Cc1ccccc1)N(CC(=O)O)CC(=O)O)CC(=O)O,10.1002/1522-2675(200204)85:4<1033::aid-hlca1033>3.0.co;2-n,dioury2014,23.79
rev_213,D4,O=C(O)CN1CCOCCOCCNCCOCCOCC1,10.1021/ic00294a023,uzal2022,7.29
rev_089,89,COc1ccccc1CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCc1ccccc1OC)CC(=O)O)CC(=O)O,10.1016/s0277-5387(97)00476-2,dioury2014,16.82
rev_134,134,O=C(O)CC(C(=O)O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1002/hlca.200590044,dioury2014,27.2
rev_110,110,O=C(O)CN(CCCOCCCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1021/ic00178a027,dioury2014,11.74
rev_107,107,CC(C)(CN(CC(=O)O)CC(=O)O)CN(CC(=O)O)CC(=O)O,10.1002/ejic.201101294,dioury2014,12.3
rev_109,109,O=C(O)CN(CCCCCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1016/s0277-5387(00)87165-x,dioury2014,10.37
rev_070,70,CNC(=O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1039/b005298l,dioury2014,19.9
rev_204,B37,O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(Cc2cccc(C(=O)O)n2)CC1,10.1002/chem.201705528,uzal2022,22.37
rev_198,B22,O=C(O)CN1CCN(CC(=O)O)CCN(CP(=O)(O)O)CCN(CC(=O)O)CC1,10.1135/cccc20051909,uzal2022,27.5
rev_182,A64,CN(CC(=O)O)CC(=O)O,10.1016/S0010-8545(99)00237-4,uzal2022,6.68
rev_114,114,O=C(O)CN(CCN(CC(=O)O)Cc1cccc(C(=O)O)n1)Cc1cccc(C(=O)O)n1,10.1039/b416150e,dioury2014,15.1
rev_115,115,CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1021/ic00234a009,dioury2014,12.98
rev_002,2,O=C(O)CN1CCCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CC1,10.1021/ic960794b,dioury2014,19.3
rev_073,73,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,10.1002/mrm.1910080208,dioury2014,18.91
rev_185,A67,O=C(O)CN(CC(=O)O)Cc1ccccc1O,10.1246/bcsj.62.2296,uzal2022,13.55
rev_080,A14,NC(=O)CN(CCN(CCN(CC(N)=O)CC(=O)O)CC(=O)O)CC(=O)O,10.1039/B514173G,uzal2022,14.6
rev_053,53,CC(C(=O)O)N1CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CC1,10.1524/ract.1993.61.34.207,dioury2014,12.8
rev_176,A56,O=C(O)CN(CC(=O)O)[C@@H]1CCCC[C@H]1N(CC(=O)O)CC(=O)O,10.1016/0048-9697(87)90127-6,uzal2022,19.6
rev_103,103,CC(C)(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,10.1135/cccc19781450,dioury2014,17.09
rev_082,82,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCC)CC(=O)O)CC(=O)O,10.1002/mrm.1910080208,dioury2014,16.23
rev_124,124,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCCNC(=O)CN(CC(=O)O)CC1,10.1021/ic00046a015,dioury2014,11.15
